ex_date,record_date,payment_date,currency,dividend_per_unit_hkd,div_serial_no
2025-05-02,2025-05-06,2025-05-13,HKD,0.09,2025H1
2025-06-02,2025-06-03,2025-06-10,HKD,0.1,2025H1
2025-07-02,2025-07-03,2025-07-10,HKD,0.1,2025H1
2025-08-01,2025-08-04,2025-08-11,HKD,0.11,2025H2
2025-09-01,2025-09-02,2025-09-09,HKD,0.12,2025H2
2025-10-02,2025-10-03,2025-10-13,HKD,0.12,2025H2
2025-11-03,2025-11-04,2025-11-11,HKD,0.12,2025H2
2025-12-01,2025-12-02,2025-12-09,HKD,0.13,2025H2
2026-01-02,2026-01-05,2026-01-12,HKD,0.13,2025H2
2026-02-02,2026-02-03,2026-02-10,HKD,0.13,2026H1
2026-03-02,2026-03-03,2026-03-10,HKD,0.13,2026H1
2026-04-01,2026-04-02,2026-04-14,HKD,0.13,2026H1
2026-05-04,2026-05-05,2026-05-12,HKD,0.13,2026H1
2026-06-01,2026-06-02,2026-06-09,HKD,0.13,2026H1
